COU,DNK,DNK,SWE,SWE,SWE,SWE,USA,USA,USA,RUS,RUS,JPN,JPN,JPN,ESP,ESP,ESP,GBR,GBR,ZAF,BRA,NZL,NZL,NZL,PRT,PRT,AUS,AUS,AUS,CAN,CAN,BEL,BEL,BEL,BEL,BEL,FIN,FIN,FIN,FRA,FRA,FRA,DEU,DEU,DEU,DEU,ISL,ISL,ITA,ITA,ITA,ITA,ITA,NLD,NLD,NLD,NLD,NLD,NOR,NOR,NOR,NOR
VAR,ENTRIES,BANKRUPTCIES,ENTRIES,ENTRIES,BANKRUPTCIES,BANKRUPTCIES,ENTRIES,BANKRUPTCIES,EXITS,ENTRIES,EXITS,ENTRIES,BANKRUPTCIES,EXITS,ENTRIES,BANKRUPTCIES,EXITS,ENTRIES,BANKRUPTCIES,BANKRUPTCIES,BANKRUPTCIES,ENTRIES,BANKRUPTCIES,EXITS,ENTRIES,EXITS,ENTRIES,ENTRIES,BANKRUPTCIES,ENTRIES,EXITS,ENTRIES,ENTRIES,BANKRUPTCIES,EXITS,EXITS,ENTRIES,BANKRUPTCIES,EXITS,ENTRIES,ENTRIES,BANKRUPTCIES,ENTRIES,ENTRIES,BANKRUPTCIES,EXITS,ENTRIES,BANKRUPTCIES,ENTRIES,ENTRIES,BANKRUPTCIES,EXITS,EXITS,ENTRIES,ENTRIES,BANKRUPTCIES,BANKRUPTCIES,EXITS,ENTRIES,ENTRIES,BANKRUPTCIES,BANKRUPTCIES
MEA,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX
ISIC4,01_99,01_99,01_99,01_99C,01_99,01_99C,01_99,01_99C,01_99,01_99,01_99,01_99,01_99C,01_99,01_99C,01_99,01_99C,01_99C,01_99C,01_99,01_99,01_99C,01_99C,01_99C,01_99C,01_99C,01_99,01_99C,01_99C,01_99C,01_99C,01_99,01_99C,01_99,01_99,01_99C,01_99,01_99,01_99,01_99,01_99C,01_99C,01_99,01_99C,01_99,01_99,01_99,01_99,01_99,01_99C,01_99,01_99,01_99C,01_99,01_99C,01_99,01_99C,01_99C,01_99,01_99C,01_99,01_99C
2001-Q1,60.81022136,85.06133792,,,,123.5667633,97.65264078,,95.51801266,,,93.61947496,,94.86199981,80.22679842,,60.65907778,,,131.3009976,282.9649249,,,,,,,61.75307477,86.24674561,85.39943997,124.2001398,,,81.99541936,,,64.97665053,120.4577975,86.00186153,65.87247013,56.45252769,90.75393465,,,,,,,99.58502179,111.5027827,179.7895095,69.78787502,47.80857683,,,67.84888994,85.07006168,,72.56673384,66.9448298,128.0530888,108.6850885
2001-Q2,60.49634027,91.62941085,,,,124.0287254,96.95524963,,96.00929687,,,90.46986527,,98.14387789,78.61253185,,61.95245307,,,134.2878934,276.6622435,,,,,,,61.44728982,88.60607508,84.48010089,124.1690958,,,82.27880958,,,64.61180871,123.6714583,86.29011899,65.26333725,56.15148281,92.34709053,,,,,,,99.06223122,111.267792,182.6781079,71.0286981,50.2664976,,,72.49704003,89.00729003,,73.49612873,64.62113065,123.6913815,110.5912948
2003-Q3,63.43608506,104.3790374,,,,136.2220268,94.05619356,,89.80133475,,,80.93743388,,107.5521251,88.89556976,,74.74763086,96.75856549,,131.6371044,301.3427641,,,,,,,99.01496539,88.34436005,83.6003882,116.036797,,,77.46994054,,,73.95901226,123.6125964,89.75574746,75.45035599,67.71857509,91.73465773,,,110.9042899,,,,100.4602749,92.84637233,174.485546,69.77353312,51.47994422,,,115.9561452,149.3308662,,78.93143647,62.91925823,187.8415445,164.254447
2003-Q4,64.19931222,106.4954349,,,,134.8905005,95.81192051,,89.37788765,,,81.20596185,,105.0191291,92.99802316,,76.91479605,98.46256916,,128.5141958,304.7101505,,,,,,,101.4494178,85.53431887,94.00468826,117.1561743,,,77.67807331,,,76.04641107,122.5117881,90.45836282,79.52483615,72.80255315,92.34552953,,,110.9215444,,,,100.7757088,83.81537445,179.4988328,71.07237629,55.66481627,,,117.0834249,148.9543878,,81.02320236,65.60849318,171.4545439,156.5639893
2004-Q1,66.08855772,109.2625986,,,,132.7627979,97.45936443,,89.55272072,,,81.79972393,,101.9539087,94.09182341,,75.90059794,83.3874967,97.66136838,122.51224,287.1207918,,,,,,,102.4144114,87.39769127,94.76582657,118.1392116,,,78.52386778,,,77.65467966,116.1995818,91.23519479,83.06793518,77.04996774,92.63750155,,,111.5811825,,,,100.9970468,78.56876544,184.3612332,72.99870663,61.2743591,,,118.569522,150.0155347,,83.62743605,67.80929804,157.6704063,146.5372116
2004-Q2,69.19005824,109.9796774,,,,128.8158357,98.41912424,,90.07351664,,,82.07018204,,99.42992281,93.08879272,,73.68668597,84.96644506,96.00486569,116.4404033,275.878553,,,,,,,101.9078497,88.56977087,95.78916805,117.5692109,,,79.0451212,,,78.01088948,108.6816215,91.87438012,83.85801928,78.69296641,92.74052293,,,112.0100763,,,,100.9774363,80.61559654,190.0257263,74.71367147,64.61401584,,,119.4091932,145.3775244,,86.10305138,69.50494909,153.8514045,138.8467048
2004-Q3,72.51595846,107.5066443,,,,124.3662385,99.33388902,,90.35251079,,,82.86626321,,98.27737625,93.00283934,,70.60765411,85.99258305,94.9469454,112.119459,268.6878522,,,,,,,101.2617531,87.41487303,96.5743422,116.0168512,,,79.87790538,,,78.66462386,105.754787,92.19491619,82.05265493,77.48132353,93.3655696,,,111.7796699,,,,100.6542866,84.35229966,193.0816782,75.81436887,65.44911317,,,118.9508686,143.8257301,,88.18725617,71.65760793,151.8385985,136.3027951
