COUNTRY,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,LVA,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,EST,EST,EST,EST,EST,EST,EST,EST,EST,EST,EST,EST,EST,EST,EST,EST,EST,EST,EST,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN
VAR,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,T4C5,T4C4,T1C7,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,T3AC3,T1C5,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60,T3AC2,PIH,PIHR3,T6C2,T6C3,T6C6,T6C7,ST1,ST10,ST5,T3AC3,T1C5,MNWI,M2MR,T4C5,T4C4,T1C7,PIH75,SB60
POPULATION,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
2012,139870.0,72.261024,18.022154,,,,,13.272024,44.909752,32.171734,130092.0,595820.0,231744.41,,21.957001,96.165001,365000.0,5.5602689,17.284395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789800.0,84.270332,25.722662,,,,,18.51766,50.093372,36.195271,1068800.0,1883600.0,890552.69,1.8864297,52.600002,180.0,998500.0,29.878716,7.0747337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201400.0,45.395592,11.75962,47.0,58.999996,9.0,13.0,15.502501,50.309025,36.498627,75900.0,467400.0,190995.14,2.2067988,44.0,161.0,211800.0,15.910073,12.485457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70152.0,49.306225,14.378227,45.470001,57.110001,8.5900002,10.41,16.324175,45.577541,33.258755,34857.0,273579.0,103816.75,1.7137353,22.6,141.8,159639.0,6.5832381,18.664709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,164058.0,71.765266,18.99284,46.700001,58.0,5.6999998,9.0,14.997084,46.465977,33.513176,144916.0,649993.0,251246.94,1.7105079,22.34,91.010002,380000.0,5.2275128,16.535755,85846.0,46.901859,8.5086136,40.48,53.119999,11.89,17.33,18.645706,50.586899,37.260921,33138.0,243130.0,109554.8,2.145896,20.4,68.0,113300.0,5.0390077,12.110005,,,,,,,,,,,,,,,14760.0,27.087418,4.747366,66.989998,77.310005,12.88,17.190001,9.1551847,42.423824,28.775896,7556.0,104199.0,41414.074,1.6016324,17.4,53.299999,65058.0,4.5973454,17.925282,4502902.0,36.806664,4.3854513,42.98,49.66,9.7600002,11.69,17.226322,48.477074,35.642178,1428428.8,15553559.0,6620761.0,1.9397281,20.200001,60.299999,8018422.0,6.2669725,15.445245,,,,,,,,,,,,,,,,,,,,43238.0,21.230368,3.3100307,38.68,52.289997,10.08,14.309999,11.686905,42.784328,29.652973,9916.0,226389.0,91974.867,1.5485096,18.4,69.599998,146198.0,2.6872752,17.315496,,,,,,,,,,,,,,,,166809.0,54.555496,14.07058,40.450001,53.240002,10.88,14.910001,18.80517,48.667435,36.296368,97316.0,768404.0,318951.28,1.7563119,22.200001,114.10001,437510.0,6.5603299,15.277357,10600.0,33.50388,4.4102654,82.610001,88.300003,18.139999,20.970001,21.386295,63.376293,49.108349,7503.0,40044.0,16803.963,2.8239775,28.200001,42.799999,14180.0,7.5758801,7.1141925,,,,,,,,,,,,,,,,,,,,86615.0,34.413723,3.3012593,25.049999,39.110001,13.77,18.83,25.527975,55.59053,43.521667,17243.0,258414.0,120788.17,3.0078218,20.1,32.700001,85914.0,6.7647443,8.0044022,,,,,,,,,,,,,,,,,,,,353225.0,66.212013,13.3106,62.700001,69.699997,10.2,13.7,52.944607,39.701721,89829.0,630859.0,236217.08,2.1829031,22.9,79.199997,289000.0,7.8786793,12.318701,84625.586,36.979061,2.1102164,63.669998,75.919998,10.57,12.780001,11.729097,41.83997,29.011663,21342.584,403392.0,142922.52,1.6886418,6.8000002,15.2,238885.48,4.168057,18.263699,,,,,,,,,,,,,,,,,,,,9847.0,36.697796,3.7600679,55.949997,69.330002,7.1599998,10.35,9.3170519,34.325706,22.962288,5391.0,66047.0,23488.461,1.3126441,12.6,42.0,50316.0,4.1686068,25.886946,40494.0,38.620495,2.587683,67.93,75.459999,9.9399996,11.89,23.032787,48.622921,37.912071,6597.0,137718.0,54779.527,1.7136137,8.6000004,24.9,80367.0,4.6586337,17.293293,,,,,,,,,,,,,,,,,,,,14583000.0,35.657829,9.8820744,17.325001,23.812,9.5480003,11.66,10.7663,41.01643,27.69113,4111000.0,32555000.0,13457082.0,1.6158733,33.362999,125.339,20147000.0,8.3616705,17.749653,114249.0,48.386173,6.8751149,36.139999,47.950001,11.0,13.789999,12.05646,42.495087,29.708549,39704.0,330266.0,142071.38,1.5153779,18.700001,79.799995,217943.0,4.2886624,18.985046,,,,,,,,,,,,,,,,,,,,4224361.0,71.906647,29.658066,74.838432,78.141151,21.44491,22.130329,17.398533,57.710564,42.665962,7772442.5,42427004.0,12926527.0,2.3905494,10.48191,14.14597,17747804.0,7.0705442,8.4905815,82000.0,45.1068,3.9665785,42.439999,54.939999,22.280001,27.529999,23.661791,59.758945,46.255795,25734.0,214259.0,106195.14,3.5245764,30.000002,38.100002,60790.0,11.009427,6.4569225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,71740.0,46.824951,5.8035688,39.239998,52.84,16.07,21.24,17.934885,49.971592,36.537834,24898.0,233306.0,104059.54,2.0167003,18.9,50.400002,115687.0,6.1720381,11.642276,135900.0,,,,,15.9252548217773,47.2583122253418,33.9406929016113,43500.0,309700.0,19.9,,164000.0,15.1931066513062,18701.0,36.61816,4.4731231,58.84,71.470001,8.9799995,12.08,8.2319765,38.784035,25.447557,11948.0,147757.0,55972.0,1.449536,14.8,47.200001,101934.0,4.2468796,20.207804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62621.0,50.004208,12.126194,46.470001,59.369999,8.4399996,10.43,14.86978,43.412403,30.898333,32621.0,291352.0,108654.52,1.5944835,17.9,113.5,182725.0,5.6498508,19.931084,,,,,,,,,,,,,,,,,,,,38405.0,59.81892,5.4063597,40.400002,55.169998,15.77,19.310001,12.141481,43.719231,29.746128,36351.0,168842.0,81081.43,1.7493861,32.799999,64.300003,96515.0,14.160577,13.706056
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154700.0,,,,,16.6897926330566,48.2525901794434,34.723087310791,46100.0,340600.0,19.799999,89.900002,170500.0,14.2573938369751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51942.0,25.195721,2.781934,36.040001,49.290001,7.4400001,10.5,14.239802,44.847591,32.099377,11784.0,274657.0,108469.18,1.5840691,11.7,50.300003,173387.0,2.4604959,17.461637,,,,,,,,,,,,,,,,111930.0,58.342094,12.006544,38.190002,51.419998,10.14,14.53,20.657711,51.288078,39.870289,81785.0,710092.0,286174.66,1.7848638,18.199999,86.900002,397841.0,7.4860544,14.918184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115163.0,35.598534,3.2696195,26.640001,40.099998,14.54,19.779999,23.569071,61.705608,48.436672,16746.0,265033.0,124685.84,3.4669762,16.699999,35.600002,76445.0,6.6955733,6.7608242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2161073.8,68.005569,3.7714167,,,,,18.358637,55.510658,41.671307,4250557.5,27311206.0,8369178.0,2.2324152,8.3281183,20.093491,12233928.0,5.3139458,10.741879,76100.0,47.435211,5.3434706,36.849998,49.419998,19.040001,23.610001,24.310295,59.17305,45.618721,27035.0,195170.0,95490.969,3.8001869,28.400002,37.299999,51358.0,10.447294,6.5495124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215600.0,41.93,52.59,5.5999999,9.1899996,19.9214038848877,51.9886474609375,38.0352401733398,47600.0,435500.0,19.299999,81.800003,183000.0,11.8074712753296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92900000.0,64.635078,15.94801,9.0,14.1,4.9000001,6.9000001,62560000.0,284289984.0,1.724642,21.200001,118.9,164840000.0,4.4506488,17.694309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82500.0,65.74102,32.207382,33.0,44.0,39.0,43.0,27.828711,68.347847,52.458202,105700.0,140500.0,64296.973,8.1213875,32.0,79.0,17300.0,33.143173,-3.9857128,,,,,,,,,,,,,,,,,,,,1013656.0,84.914764,28.182381,26.860001,39.889999,24.950001,27.290001,20.128822,51.450287,37.845356,1257486.0,2272944.0,1059003.8,1.9536123,52.0,196.0,1163457.0,29.460386,7.3088636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463113.0,75.750351,27.344759,37.101814,51.509609,34.037136,38.600353,23.620983,63.976688,47.340378,854025.0,996949.0,516777.78,4.6812372,67.0,193.0,212967.0,33.406826,-3.8514316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198800.0,42.459999,52.529999,5.79,9.6899996,20.0254821777344,51.9994735717773,38.2443580627441,45200.0,392400.0,20.5,89.5,168900.0,12.1671094894409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51293.0,56.640392,13.101624,58.240002,68.699997,26.870001,30.17,14.179169,53.7924,37.657055,70934.0,216349.0,79596.008,2.1505864,38.5,102.10001,100600.0,17.991531,7.1840534,,,,,,,,,,,,,,,,,,,,87004696.0,66.911652,,,,,,58184100.0,267384896.0,1.8450518,19.23,,144920000.0,4.6910958,16.364561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47182.0,45.866768,16.763445,45.899998,55.279999,14.08,16.25,14.442963,52.127502,36.539959,28814.0,155956.0,59751.211,2.1899319,37.799999,198.5,71215.0,10.216176,12.422934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327600.0,74.693878,15.428572,,,,,37.616608,78.192551,65.859283,97000.0,488400.0,189572.23,7.5603714,45.599998,131.8,64600.0,22.693878,2.4078624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29411.0,36.805355,3.7687743,55.479996,65.709999,10.14,12.2,21.2271,55.71339,43.189041,8618.0,96994.0,43115.121,2.2310805,15.299999,38.299999,43474.0,5.5979028,12.7863,51573.0,57.3964,5.4483147,41.650002,55.110001,16.859999,19.689999,13.307406,45.231823,31.374777,43458.0,195328.0,95374.484,1.775709,35.299999,76.700005,110000.0,13.595468,13.552249
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57872.0,65.594727,23.458723,38.02,52.609997,18.91,23.27,9.1626892,43.225662,27.834057,83348.0,154042.0,69519.453,1.9559647,47.0,201.39999,78755.0,21.030716,8.3290138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44424.0,46.221092,18.35153,45.68,56.620003,10.059999,12.29,19.630329,51.40073,39.280842,30255.0,157933.0,58376.66,2.0057786,34.0,224.49998,78739.0,8.2872629,14.464144,10668.0,26.775574,3.0627768,49.43,62.599998,4.4899998,5.1500001,7.7233076,32.783016,21.75415,3332.0,79656.0,28135.32,1.3019515,6.5999999,22.700001,61182.0,1.6920338,28.916891,,,,,,,,,,,,,,,,,,,,287800.0,75.170067,16.156462,,,,,37.344597,76.609886,63.466412,104500.0,452900.0,174855.67,7.2463999,47.400002,132.8,62500.0,23.554422,2.5370326,,,,,,,,,,,,,,,,,,,,123202.0,44.806965,6.7364135,36.869999,47.59,11.860001,15.18,12.180297,44.022743,31.293131,30226.0,338636.0,146884.02,1.6418794,18.199999,80.0,206249.0,4.4450188,17.170317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
